list-il-s,12,4,1,144,364787,2533
list-dl-s,12,4,1,144,2070923,14381
list-i-m,12,8,1,288,463490,1609
list-d-m,12,8,1,288,334067,1159
list-il-m,12,8,1,288,327651,1137
list-dl-m,12,8,1,288,344385,1195
list-i-s,12,8,1,288,341394,1185
list-d-s,12,8,1,288,336769,1169
list-il-s,12,8,1,288,333070,1156
list-dl-s,12,8,1,288,366101,1271
list-i-m,12,12,1,432,316612,732
list-d-m,12,12,1,432,2019550,4674
list-il-m,12,12,1,432,687068,1590
list-dl-m,12,12,1,432,404079,935
list-i-s,12,12,1,432,317791,735
list-d-s,12,12,1,432,334642,774
list-il-s,12,12,1,432,396773,918
list-dl-s,12,12,1,432,347250,803
list-i-m,12,32,1,1152,1583469,1374
list-d-m,12,32,1,1152,1967213,1707
list-il-m,12,32,1,1152,1790406,1554
list-dl-m,12,32,1,1152,1999563,1735
list-i-s,12,32,1,1152,940637,816
list-d-s,12,32,1,1152,752122,652
list-il-s,12,32,1,1152,1186554,1029
list-dl-s,12,32,1,1152,918150,797
list-none-none,1,1000,1,3000,2600988,866
list-none-m,1,1000,1,3000,2642862,880
list-none-s,1,1000,1,3000,2599267,866
list-none-m,2,1000,1,6000,17988896,2998
list-none-s,2,1000,1,6000,8339505,1389
list-none-m,4,1000,1,12000,68772525,5731
list-none-s,4,1000,1,12000,52115736,4342
list-none-m,8,1000,1,24000,270691020,11278
list-none-s,8,1000,1,24000,177633374,7401
list-none-m,12,1000,1,36000,543252351,15090
list-none-s,12,1000,1,36000,375051546,10418
list-none-m,16,1000,1,48000,1186153837,24711
list-none-s,16,1000,1,48000,731582525,15241
list-none-m,24,1000,1,72000,2547213862,35377
list-none-s,24,1000,1,72000,825337210,11463
